1216
a big cheese	(slang) เป็นสำนวนแปลว่า คนที่สำคัญมาก
coccygeal	(adj.) ที่ใกล้หรือที่เกี่ยวข้องกับก้นกบ, Related: R. coccyx 
COD	(abbrev) ความต้องการออกซิเจนทางเคมี chemical oxygen demand
coincide with	(v.) เกิดขึ้นในเวลาใกล้เคียงกัน
coleus	(n) ต้นฤาษีผสม เช่น Information on how to grow Coleus (Coleus blumei) in your garden.
collaborative	(adj) ทำด้วยความร่วมมือกันจากหลายคน หรือ หลายฝ่าย มีการช่วยเหลือกันเพื่อให้งานเสร็จสิ้น 
collect call	(n) โทรศัพท์เรียกเก็บเงินปลายทาง
collectivism	(n) ความรู้สึกผูกพันกับกลุ่ม เช่น Collectivism is an answer to the first question. It says value to the collective, whether that's society, your tribe, your family, your nation and your race.
come apart	(vi) แยก, แตกออกเป็นส่วนๆ
Come off it!	(phrase, colloq) อย่าล้อเล่นน่า, เลิกพูดเล่นได้แล้ว, Related: S. Don't be ridiculous!, 
comfortable	(adj) สบาย,นุ่ม,อบอุ่น
commission	(n) คณะกรรมการ, คณะกรรมาธิการ
commitment	(n) ฉันทามติ, ข้อตกลงร่วมกันของกลุ่ม ไม่ได้หมายถึงการรับผิดร่วมกัน
compact bone	(n) กระดูกที่มีลักษณะเนื้อแน่น
CompactFlash memory	(n uniq) หรือ CF memoryเป็นอุปกรณ์เก็บข้อมูลประเภท flash memory ที่พัฒนาโดยสมาคม CompactFlash (http://www.compactflash.org/) และผลิตจำหน่ายโดยผู้ผลิตหลายราย หลายยี่ห้อ , Related: flash memory, memory stick 
computer	(n) คณิตกร (ศัพท์บัญญัติในภาษาไทย)
computer-based learning	(n) การเรียนรู้ที่ใช้คอมพิวเตอร์เป็นสื่อหลัก 
con artist	(n) นักต้มตุ๋น คนลวงโลก
concierge	(n) |ที่มา:ภาษาฝรั่งเศส| พนักงานต้อนรับในโรงแรมที่พูดได้หลายภาษา ทำหน้าที่หิ้วกระเป๋าและเปิดประตู
confidence interval	(n phrase) ช่วงความเชื่อมั่น
configure	(vt) ออกแบบ, ปรับแต่ง, สร้าง, Related: S. design, arrange, set up 
conflict of interest	(n) ผลประโยชน์ทับซ้อน
conspiratorial	(adj) ที่สมรู้ร่วมคิด, Related: R. conspiracy 
constitutional court	(org) ศาลรัฐธรรมนูญ ของประเทศไทยมีชื่อเต็มว่า The Constitutional Court of The Kingdom of Thailand มีโฮมเพจอยู่ที่  http://www.concourt.or.th/
contentment	(n) สันโดษ(ความหมายทางศาสนาพุทธ)
contribution	(n) ผลงาน
convenient	(adj) สะดวก
conventional warfare	(phrase) การยุทธตามรูปแบบ, การทำสงครามโดยใช้อาวุธและยุทธวิธีทางการทหาร ซึ่งแต่ละชนชาติจะเผชิญหน้ากันอย่างเปิดเผย
conventional wisdom	(noun phrase) ความคิดเห็นหรือคำอธิบายที่ได้รับการยอมรับจากผู้เชี่ยวชาญทำให้เกิดความยอมรับจากสาธารณชน ซึ่ง conventional wisdom อาจถูกหรือผิดก็ได้
conveyor	(n) เครื่องสำหรับนำวัตถุไปยังที่อื่น เช่น สายพาน
